TF1,DF1,TF2,DF2
357,255,0,0
162,129,0,0
100,59,110,62
779,239,0,0
21,10,9,9
144,39,10,8
412,282,0,0
1929,1075,660,455
30,17,16,9
367,206,52,37
1856,802,11,9
34,29,0,0
946,757,0,0
92,13,49,8
141,103,0,0
80,68,40,37
934,455,3,3
268,173,10,6
39,36,0,0
33,25,0,0
109,86,85,75
24,19,18,13
1013,652,12,8
37,26,19,17
746,495,0,0
45,35,0,0
139,114,0,0
98,80,0,0
1405,400,1113,346
323,171,163,87
1412,400,1095,341
1401,851,22,18
40,35,3,1
128,99,0,0
1637,1036,0,0
64,56,0,0
81,71,1,1
590,347,251,164
996,422,21,11
1041,514,841,488
700,478,14,9
86,74,2,1
142,80,10,6
1673,827,26,16
311,200,213,141
274,169,400,209
172,128,2,2
64,54,1,1
163,65,18,12
498,396,1,1
410,289,16,10
450,296,0,0
319,155,17,10
325,238,0,0
85,80,0,0
663,474,5,5
368,293,2,2
82,64,0,0
444,281,5,5
36,27,14,14
31,27,0,0
902,592,2,2
2209,1210,4,4
970,689,4,4
59,57,0,0
63,37,2,2
39,27,0,0
57,42,2,2
164,120,1,1
89,63,8,8
429,187,29,24
365,268,6,3
883,451,6,5
542,365,4,2
211,124,97,80
316,217,2,2
3,2,71,58
341,203,2,2
309,234,11,9
73,49,0,0
631,367,0,0
298,216,9,7
129,82,8,8
207,160,0,0
46,45,0,0
246,156,1,1
153,80,0,0
668,301,7,3
332,213,2,2
298,96,69,19
72,50,0,0
200,119,126,75
209,166,0,0
60,46,54,34
222,143,0,0
1911,565,22,15
300,214,253,200
97,73,0,0
170,119,1,1
167,132,0,0
129,105,0,0
1675,806,28,17
302,241,0,0
327,155,3,2
34,27,0,0
100,92,0,0
329,234,1,1
480,392,0,0
587,233,2,2
147,130,55,51
202,130,1,1
72,65,41,34
357,298,0,0
543,387,0,0
395,235,2,2
1570,745,21,9
1813,685,2,2
534,307,5,3
73,60,1,1
271,212,2,1
604,305,1,1
335,138,266,157
78,71,0,0
131,115,0,0
319,235,2,1
179,102,88,68
158,106,2,2
216,130,0,0
318,217,184,136
118,97,0,0
677,471,3,3
1207,714,25,15
487,387,0,0
42,41,0,0
428,316,0,0
55,42,1,1
50,39,0,0
46,36,0,0
508,359,0,0
285,158,10,7
51,43,3,3
226,167,118,98
206,118,1,1
152,98,0,0
300,237,7,7
146,96,0,0
431,253,10,8
91,69,36,33
139,125,62,59
34,19,0,0
212,161,0,0
5647,2071,11,10
732,514,439,328
843,351,25,14
331,217,178,136
384,245,193,160
645,295,49,25
87,48,1,1
50,44,0,0
585,381,349,251
205,157,1,1
245,139,7,5
716,518,1,1
82,71,0,0
191,157,0,0
1060,574,11,9
86,82,0,0
45,28,1,1
137,102,4,4
397,251,208,160
35,7,3,3
271,151,1,1
981,397,67,45
372,217,3,3
2881,1387,95,74
1839,1074,49,30
536,406,22,15
408,285,0,0
2386,993,242,110
32,14,4,2
77,10,80,6
71,55,6,6
1620,855,33,19
961,651,8,4
205,138,1,1
730,417,5,5
381,242,4,4
335,285,0,0
515,327,2,1
151,135,0,0
573,417,0,0
233,192,0,0
179,118,1,1
624,355,6,5
1270,896,2,2
565,209,5,5
195,150,5,5
114,74,0,0
426,309,1,1
90,65,0,0
33,29,11,10
467,335,18,11
381,243,195,156
2042,1251,1170,679
215,136,10,9
559,325,4,4
193,156,0,0
121,79,3,3
151,91,9,8
824,349,27,16
4677,787,119,73
338,168,148,98
663,348,110,65
42,20,5,5
79,45,27,21
99,73,58,38
174,152,0,0
459,292,6,5
845,593,1,1
756,453,127,76
377,186,9,8
60,56,0,0
78,50,0,0
112,98,1,1
151,117,4,1
2670,1447,4,4
240,137,7,6
2501,1022,976,521
432,337,4,2
1008,455,33,25
109,80,5,4
1573,888,792,543
139,105,0,0
1022,485,19,18
294,196,502,342
1181,451,18,17
773,422,3,3
84,48,2,1
370,194,27,14
856,363,429,179
42,26,0,0
1726,824,2,2
87,74,3,2
634,301,14,13
901,526,0,0
80,71,0,0
121,109,0,0
515,368,0,0
226,108,32,20
66,52,0,0
54,34,2,2
445,119,16,10
1422,916,124,104
102,76,0,0
277,160,3,2
757,511,399,309
89,61,13,12
719,479,0,0
156,62,51,29
87,45,35,19
42,35,4,4
965,397,42,36
163,131,0,0
353,215,6,6
300,255,5,5
970,613,2,2
321,119,11,10
360,123,18,10
95,19,23,8
43,19,59,9
1615,1221,655,500
173,99,60,46
378,305,0,0
396,267,0,0
214,106,123,83
1476,383,268,112
424,179,5,5
83,64,2,2
2569,1299,1,1
141,126,4,2
1284,511,80,47
92,43,9,7
26,16,12,9
279,75,60,26
72,28,34,21
376,18,109,11
114,65,0,0
208,122,58,39
90,56,33,25
122,65,57,26
783,439,345,222
465,251,3,1
45,39,0,0
984,657,0,0
18,13,13,8
738,375,39,35
2279,1172,527,373
44,26,1,1
277,214,0,0
128,77,0,0
416,233,3,3
167,147,90,75
63,24,25,13
735,396,6,5
709,334,9,7
114,66,52,36
631,480,167,156
42,15,0,0
596,431,0,0
376,254,8,7
1242,842,778,587
134,74,300,172
132,101,0,0
255,212,0,0
508,394,0,0
1183,577,0,0
1003,526,16,13
2536,1166,85,41
120,94,0,0
744,498,36,29
407,153,3,3
184,132,11,8
801,612,12,5
610,370,4,2
136,73,32,19
97,82,0,0
36,30,0,0
1461,727,104,74
968,568,69,40
273,178,2,2
106,77,16,10
380,211,2,2
91,39,7,3
321,141,53,37
35,18,17,10
466,378,7,6
119,88,12,7
59,56,0,0
171,115,18,15
801,600,485,387
223,132,15,15
798,608,532,413
654,427,1,1
2251,1044,21,19
398,198,2,1
1204,602,0,0
1027,540,98,64
136,107,0,0
225,129,0,0
171,120,0,0
339,260,9,8
1097,502,11,8
749,530,0,0
452,297,2,2
493,369,6,6
310,144,1,1
134,113,2,2
2628,1229,7,5
1291,838,5,5
148,89,22,18
84,63,3,2
553,289,1,1
331,208,2,1
94,72,0,0
383,247,3,3
1887,859,60,34
2034,1099,5,3
109,70,0,0
79,30,27,15
230,66,177,96
1137,443,456,242
128,50,31,25
67,26,17,8
91,47,42,27
41,21,21,11
71,47,58,23
56,24,9,7
132,53,33,10
160,88,2,2
109,89,0,0
2805,664,6,4
38,19,0,0
248,191,139,118
861,550,26,24
51,44,2,2
61,48,0,0
1254,786,1,1
2057,681,13,9
3798,1362,81,61
34,27,12,11
1142,706,5,4
633,242,5,5
53,32,34,21
94,79,0,0
283,244,2,2
133,109,0,0
1507,770,6,3
144,100,0,0
62,8,0,0
49,10,2,1
2791,923,78,58
428,97,1,1
